"cbsa","Region_Name","Total: Abs. Disparity","Total: Rel. Disparity"
16300,"Midwest",9.82223446318266,1.12985036519665
47260,"South",9.81541021230026,1.13541758102232
42140,"West",9.8139257161718,1.13010051818802
23540,"South",9.80551644196718,1.13368380054096
26620,"South",9.80094529783006,1.13503401629321
19740,"West",9.79251062269211,1.13110499535151
49700,"West",9.78194246775471,1.13349465273283
19660,"South",9.77341736378452,1.13514046517449
28740,"Northeast",9.77198470991272,1.12761715793066
47940,"Midwest",9.74831029635068,1.1315572209266
30780,"South",9.73304924259986,1.13620274182185
45060,"Northeast",9.71561039971755,1.12976654365333
30700,"Midwest",9.7054299057779,1.13049136336432
12260,"South",9.69452712043171,1.1357045315724
21500,"Northeast",9.68761149079818,1.132518745061
21300,"Northeast",9.67992981861151,1.13230595910783
10500,"South",9.67372897507273,1.13672897735348
26420,"South",9.67090162509913,1.13106614104016
49420,"West",9.66460635573221,1.13182187617898
15180,"South",9.66025063264722,1.12795697654491
33460,"Midwest",9.65649747526979,1.12719025100182
33660,"South",9.65565896803634,1.13696123139035
11540,"Midwest",9.65075934232297,1.12794317498671
16860,"South",9.64570898351278,1.13459293303894
27860,"South",9.63765340080437,1.13625178649809
11100,"South",9.63488834983868,1.1347437420786
27180,"South",9.6270085844474,1.13457543207057
46540,"Northeast",9.60921992563252,1.12884967205844
22380,"West",9.60876756404686,1.12882173097249
36740,"South",9.60006166329161,1.12838206228216
43900,"South",9.59285596598591,1.1335569914102
29340,"South",9.58969171940281,1.13591601296219
24580,"Midwest",9.57410739117792,1.12805693808739
20940,"West",9.55990741759195,1.12417923197078
42700,"South",9.53311660374023,1.12985955632094
27060,"Northeast",9.52723217221731,1.1230940549831
14740,"West",9.52409526719961,1.12766317029557
31020,"West",9.52341781888178,1.13383103680129
37900,"Midwest",9.51727773694513,1.13018972941594
40220,"South",9.49471748681578,1.13113474815053
15940,"Midwest",9.47656992925507,1.13099140478132
31080,"West",9.47409061301101,1.12432272885882
42660,"West",9.46526652381797,1.12519373516744
12060,"South",9.46393496525904,1.12912431383445
37340,"South",9.46299891605856,1.12922683880881
44060,"West",9.44300698354333,1.12869317173689
44700,"West",9.42594510370021,1.12906093439965
29820,"West",9.42495450511546,1.12919939074762
36220,"South",9.42457224125785,1.13323276584054
31900,"Midwest",9.40724220632443,1.13172486652382
31180,"South",9.39352053179644,1.12973873740637
40900,"West",9.38616486448304,1.12544886656121
40140,"West",9.36688266208945,1.12613984751722
16020,"Midwest",9.36663309162376,1.12960319243229
13460,"West",9.36159298064256,1.12441432800837
48660,"South",9.35586510664722,1.13131749724966
22500,"South",9.35418903766182,1.13387299090682
38300,"Northeast",9.33269067416802,1.12752429079303
14500,"West",9.32138885908328,1.12068078845707
13740,"West",9.31023522487916,1.12579311908914
41500,"West",9.28318322177748,1.12175770838939
14010,"Midwest",9.28079967124138,1.12528698472884
35980,"Northeast",9.26765959587614,1.12307450427507
48140,"Midwest",9.25942364543864,1.1226716727968
42340,"South",9.25864941063664,1.12832222289275
29740,"West",9.24537067492859,1.12352843581237
38060,"West",9.23544521367648,1.12442673464937
44180,"Midwest",9.21867307825008,1.12618320376905
33860,"South",9.21431041663123,1.1297948400965
25940,"South",9.21252915183825,1.12276953425532
41700,"South",9.19807466340615,1.12448113286083
30340,"Northeast",9.17319292342243,1.1285855679921
12020,"South",9.14718944071574,1.12620536658744
10740,"West",9.11368178668992,1.12310274676699
40340,"Midwest",9.11316628960531,1.11704207417923
43580,"Midwest",9.11230819225362,1.12301722710483
45820,"Midwest",9.10319832406635,1.12398225640903
41140,"Midwest",9.08436673848123,1.12579712744623
36260,"West",9.05365817786932,1.12039747723096
25180,"South",9.04969280721809,1.12566577890788
30140,"Northeast",9.04734001882368,1.12288399587051
22540,"Midwest",9.04518830634561,1.11917413631131
12220,"South",9.03932596720064,1.12236786616371
14860,"Northeast",9.02047718231545,1.1169379308238
20700,"Northeast",9.00718379277513,1.11966566698035
26580,"South",9.00377007632006,1.12744826212641
39740,"Northeast",8.98330399509511,1.12110216063552
19100,"South",8.95583653730984,1.12111651292187
15260,"South",8.95122242444788,1.12265227217592
21660,"West",8.94757660377704,1.12020196819974
45460,"Midwest",8.94709241241881,1.12505572526363
24220,"Midwest",8.941714782817,1.11903204795267
23460,"South",8.93978933973767,1.1300725334893
39580,"South",8.92594337900196,1.11883260443343
19180,"Midwest",8.90879000984425,1.12561664762055
12980,"Midwest",8.90665006846706,1.12311826423056
41740,"West",8.87888074144551,1.11596589724252
34820,"South",8.87837073828132,1.12178596046368
29700,"South",8.86691064921033,1.11892338193422
36780,"Midwest",8.86289138645386,1.11858281918839
20740,"Midwest",8.85511398879888,1.11762462252111
49180,"South",8.85058575160027,1.12121746881312
12420,"South",8.84788205233171,1.11726636079655
44140,"Northeast",8.84727947148782,1.11769815321842
33220,"Midwest",8.84304928009809,1.11500483660497
30860,"West",8.83009377129625,1.11600446776358
43780,"Midwest",8.82865059983872,1.12112200401942
25420,"Northeast",8.82695732515206,1.11816102776219
40580,"South",8.81352345507056,1.12356422385936
19060,"South",8.81002554830054,1.12333431299765
13140,"South",8.80418257130537,1.12416604029317
48700,"Northeast",8.8032810655979,1.11909127006071
48900,"South",8.79707867899789,1.11995264203421
38220,"South",8.79085658069921,1.12649831800424
12540,"West",8.78346737392237,1.12082085255052
25620,"South",8.78043942296992,1.12457238376119
17420,"South",8.77701727325884,1.12432735006051
28420,"West",8.77395263710817,1.1161509316891
42200,"West",8.73691629206724,1.11382948952927
35100,"South",8.69733571045493,1.11944494548011
14460,"Northeast",8.6852415566259,1.11325101095894
46700,"West",8.68139232191307,1.11621813475224
35300,"Northeast",8.68027870214627,1.11570745250832
39820,"West",8.65070727489636,1.11981894795177
16620,"South",8.64981684480807,1.12121530839418
13780,"Northeast",8.64387755975815,1.11408656808829
47300,"West",8.64238984223341,1.11723347871831
29620,"Midwest",8.63770378260968,1.11590500759116
41620,"West",8.63187270367359,1.11602284270872
29180,"South",8.61687346959199,1.11845090681462
18580,"South",8.61670315300222,1.11809940977367
27500,"Midwest",8.59132703402999,1.11663774085381
46340,"South",8.57250829764206,1.11671660100568
41060,"Midwest",8.57200744349124,1.11123551305272
36500,"West",8.56661642671682,1.11267678758325
45540,"South",8.53470242582813,1.1180959717388
26300,"South",8.52943674110058,1.12151067537314
47020,"South",8.52514725346171,1.114826385207
38900,"West",8.50761672845695,1.11257917261183
22140,"West",8.49770820866637,1.11378040450101
46660,"South",8.49696452072875,1.11861236096558
11500,"South",8.48920342405309,1.12267664419575
11020,"Northeast",8.48887598813916,1.11530329511019
16220,"West",8.48357348830433,1.11394265589892
14540,"South",8.47984941243957,1.11699573406026
31540,"Midwest",8.47531249307379,1.11125821016222
39540,"Midwest",8.45671695776543,1.11454632555549
37460,"South",8.44149225002187,1.11717739743439
31700,"Northeast",8.4397761806995,1.11238929580183
10780,"South",8.43206558619772,1.11786587252675
17020,"West",8.43029612092131,1.11507123667869
22180,"South",8.42647057963787,1.11755327629589
39340,"West",8.41169358241736,1.11086601447446
42540,"Northeast",8.40996285640925,1.11556267713018
28660,"South",8.38573421128863,1.1144717019805
33780,"Midwest",8.36994608407269,1.11333409136869
19460,"South",8.36872583057369,1.11804303426383
25540,"Northeast",8.35960336370827,1.11070252926888
10900,"Northeast",8.34565634000328,1.11115175977338
27620,"Midwest",8.32936750603733,1.11270880238633
27100,"Midwest",8.31474980870916,1.11374359172868
47580,"South",8.30815276192665,1.11362646484088
22660,"West",8.26803315814013,1.10734764419404
24300,"West",8.26691794352816,1.11126075944504
18700,"West",8.26624936149997,1.10637574982312
41940,"West",8.24512215014234,1.10464137525989
37100,"West",8.24210568522129,1.1066641067467
22900,"South",8.23011929818077,1.11508319322317
47460,"West",8.22428189807763,1.10711100184695
41420,"West",8.1993491331738,1.108722715443
39300,"Northeast",8.19011523940016,1.10909256987535
31340,"South",8.18948841619096,1.11129078606695
24340,"Midwest",8.17612826856774,1.10774253489851
17300,"South",8.17282198693263,1.11380635178171
38860,"Northeast",8.15424980049698,1.10761519771884
47220,"Northeast",8.1501702114119,1.11254629845072
34740,"Midwest",8.15015704119598,1.11192996084716
33540,"West",8.1454035186775,1.10834021843146
18880,"South",8.14058353929278,1.1095583563001
41540,"South",8.13985024855779,1.11006271661554
